name,value
s_0,0.0
V,-80.88310412
s_2,0.092790269
s_3,1620.528775
s_4,8.053999501
s_5,122.2160781
s_6,1620.528775
s_7,0.09279026946
s_8,8.851691228e-13
s_9,0.9615600724
s_10,0.003767463428
s_11,5.535450499e-06
s_12,3.614717015e-09
s_13,7.908511386e-13
s_14,7.153680173e-09
s_15,6.39166236e-09
s_16,0.996752968
s_17,7.087660992e-05
s_18,6.300248702e-06
s_19,2.112480482e-11
s_20,0.462858597
s_21,0.0106273799
s_22,9.600858225e-05
s_23,13763.22742
s_24,141826.7743
s_25,0.004139033547
s_26,0.9999623535
s_27,0.0003298367341
s_28,0.0005091689794
s_29,0.9980927689
s_30,0.9979010383
s_31,0.001113258849
s_32,0.0007192382272
s_33,0.0002223437325
s_34,4.412087393e-05
s_35,0.0005091689794
s_36,0.9980927689
s_37,1.552405441e-07
s_38,6.461071366e-05
s_39,3.762774987e-06
s_40,8.212756509e-09
s_41,0.00715189006
s_42,0.3114893963
s_43,0.0005091689794
s_44,3.779115232e-13
s_45,0.001193078173
s_46,3.630488755e-62
s_47,0.003490326981
s_48,0.005883268221
s_49,0.000395508851
s_50,0.04450890836
s_51,3.630488755e-62
s_52,0.02392020281
s_53,0.006409630097
s_54,0.002487944176
s_55,0.001722672905
s_56,3.630488755e-62
s_57,0.0003771728607
s_58,0.0007236469606
s_59,0.0003474740964
s_60,130063.5182
s_61,50777.13406
s_62,23533.96779
s_63,2193.421483
s_64,0.01951294807
s_65,0.009059006924
s_66,10972.67542
s_67,93550.62972
s_68,28735.99432
s_69,6.773138136e-91
s_70,0.01449457584
s_71,13404.98892
s_72,0.2242397227
s_73,36909.67042
s_74,0.001340729197
s_75,0.004134187505
s_76,4430.125145
s_77,7006.267909
s_78,14213.93882
s_79,7.736146378
s_80,0.381295705
s_81,0.05158797692
s_82,0.8896934822
s_83,0.07537918546
s_84,0.8253133062
s_85,6.836347022
s_86,0.6205890724
s_87,0.1172793205
s_88,1.154255173
s_89,0.1320878782
s_90,1.033166329
s_91,9.27446672
s_92,0.10869971
s_93,0.01546752825
s_94,0.2929517738
s_95,0.06863855598
s_96,0.2353122184
s_97,0.3382412669
s_98,0.4724516017
s_99,0.4126582483
s_100,0.02320312876
s_101,0.6026039427
s_102,0.6026039427
s_103,0.2596146734
s_104,0.3675832948
s_105,0.3813640007
s_106,8.851705616e-13
s_107,2.60506911e-11
s_108,0.03415627435
s_109,0.000507695153
s_110,2.829869165e-06
s_111,7.010470517e-09
s_112,2.327573109e-11
s_113,5.549734835e-08
s_114,4.958553899e-08
s_115,6.512671925e-12
s_116,0.003169194559
s_117,6.261242517e-07
s_118,3.339118148e-08
s_119,1.866017795e-13
s_120,0.1213360465
s_121,0.002785949016
s_122,2.516918244e-05
s_123,4.069800161e-08
s_124,1.694073185e-05
s_125,1.028703688e-06
s_126,6.604024237e-09
s_127,0.001875148561
s_128,0.08166786118
s_129,0.3801202195
s_130,0.0005091689794
s_131,0.9980927689
s_132,0.9214774521
s_133,0.9908502903
s_134,0.2087704319
s_135,0.0008637307739
s_136,0.9999881755
s_137,8.187695769e-13
s_138,0.8894320487
s_139,0.003484859972
s_140,5.120227116e-06
s_141,3.343570256e-09
s_142,8.187721513e-13
s_143,7.315039113e-13
s_144,6.61694479e-09
s_145,5.912117549e-09
s_146,8.046441685e-11
s_147,0.1055007176
s_148,0.001568150421
s_149,8.740796912e-06
s_150,2.165368505e-08
s_151,2.011610269e-11
s_152,7.189314575e-11
s_153,1.714179939e-07
s_154,1.531578593e-07
s_155,0.0607774872
s_156,5.796341475e-39
s_157,0.003591463241
s_158,0.0004069691772
s_159,0.0004580528431
s_160,5.796341475000001e-40
s_161,2.305390265e-06
s_162,2.397840156e-07
s_163,0.8422801321
s_164,0.05090725598
s_165,0.001153809439
s_166,1.162267165e-05
s_167,4.390450831e-08
s_168,6.508479153e-07
s_169,0.06016286658
s_170,0.0363623257
s_171,0.008241495995
s_172,0.0008301908322
s_173,3.136036308e-06
s_174,4.648913681e-05
s_175,0.02965524523
s_176,0.02144114378
s_177,0.8608445698
s_178,0.1198169988
s_179,0.01334142186
s_180,0.0002971089895
s_181,0.002134627497
s_182,0.003565307875
s_183,0.01184324373
s_184,0.0005091689794
s_185,0.9980927689
